Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
2.4200439,-0.014391,0.597840,1.005912,1.170247,30.731407,91.378922
2.4223938,-0.009757,0.584668,1.004206,1.162050,30.212267,90.956093
2.4247742,-0.009269,0.563447,1.002986,1.150452,29.329279,90.942444
2.4271543,-0.013416,0.540763,1.006400,1.142561,28.257555,91.421143
2.4295349,-0.010977,0.508323,1.010059,1.130810,26.719692,91.237045
2.4319153,-0.012440,0.473687,1.010547,1.116127,25.122086,91.504402
2.4342651,-0.004635,0.435879,1.008595,1.098761,23.373463,90.609268
2.4366455,0.000000,0.390754,1.005181,1.078461,21.243095,90.000000
2.4390259,0.000000,0.339044,1.005181,1.060820,18.639044,90.000000
2.4414063,-0.000488,0.293188,1.006156,1.048003,16.245834,90.095444
2.4437864,-0.001952,0.250258,1.010791,1.041313,13.906411,90.446907
2.4461670,-0.001464,0.199767,1.011767,1.031300,11.169322,90.419792
2.4485168,0.002439,0.146351,1.011034,1.021574,8.237664,89.045258
2.4508970,0.008538,0.094640,1.008839,1.013305,5.380883,84.845139
2.4532776,0.011221,0.035612,1.008108,1.008799,2.121080,72.510849
2.4556580,0.007561,-0.017318,1.006644,1.006822,1.075200,293.585632
2.4580381,0.005855,-0.070492,1.013474,1.015940,3.992480,274.747742
2.4604187,0.005122,-0.118544,1.016400,1.023303,6.658586,272.474091
2.4627686,0.003172,-0.167571,1.014450,1.028202,9.381335,271.084290
2.4651489,0.004878,-0.212939,1.015669,1.037762,11.843768,271.312256
2.4675291,0.009757,-0.256600,1.010791,1.042899,14.254083,272.177643
2.4699097,0.004878,-0.300262,1.012986,1.056561,16.512558,270.930695
2.4722900,0.002927,-0.345385,1.016889,1.073947,18.760635,270.485596
2.4746399,-0.000244,-0.383437,1.017377,1.087235,20.650831,269.963501
2.4770200,-0.000731,-0.412463,1.016889,1.097355,22.078150,269.898438
2.4794006,0.001952,-0.444416,1.019083,1.111774,23.561947,270.251678
2.4817810,0.007317,-0.468076,1.017620,1.120133,24.703751,270.895538
2.4841611,0.009757,-0.496127,1.018596,1.133038,25.973646,271.126678
2.4865417,0.013171,-0.517348,1.016889,1.141002,26.972469,271.458405
2.4888916,0.011221,-0.533689,1.020303,1.151507,27.617884,271.204468
2.4912720,0.013660,-0.542958,1.022011,1.157366,27.987627,271.441162
2.4936521,0.019269,-0.553934,1.022743,1.163279,28.455212,271.992249
2.4960327,0.023904,-0.559789,1.019083,1.162956,28.802315,272.445129
2.4984131,0.027318,-0.559057,1.017133,1.160969,28.823792,272.797516
2.5007932,0.033173,-0.556373,1.019328,1.161757,28.669546,273.412109
2.5031433,0.034881,-0.549301,1.021035,1.159940,28.327682,273.633392
2.5055237,0.031465,-0.532470,1.018841,1.150022,27.633615,273.381805
2.5079038,0.032928,-0.510518,1.022743,1.143554,26.574322,273.690491
2.5102844,0.033661,-0.485639,1.020791,1.130925,25.495932,273.964996
2.5126648,0.035612,-0.452953,1.019328,1.116003,24.024233,274.495392
2.5150146,0.032442,-0.417585,1.014694,1.097740,22.429766,274.442322
2.5173948,0.027075,-0.376363,1.015913,1.083726,20.376270,274.114746
2.5197754,0.021221,-0.336605,1.015913,1.070436,18.365637,273.607361
2.5221558,0.015610,-0.292700,1.017133,1.058525,16.075838,273.052826
2.5245359,0.015123,-0.248794,1.019083,1.049123,13.743946,273.478546
2.5268857,0.011952,-0.204158,1.013474,1.033902,11.408450,273.350403
2.5292664,0.013171,-0.155131,1.010303,1.022228,8.760446,274.853058
2.5316467,0.008780,-0.108787,1.009572,1.015454,6.170060,274.614471
2.5340269,0.002927,-0.060735,1.010059,1.011887,3.445033,272.759430
2.5364075,-0.000975,-0.012196,1.012011,1.012085,0.692386,265.428101
2.5387878,-0.001464,0.034881,1.009815,1.010418,1.980112,92.402840
2.5411377,-0.001952,0.083908,1.009328,1.012811,4.753533,91.332710
2.5435178,-0.004391,0.130496,1.009815,1.018221,7.367508,91.927185
2.5458984,-0.005122,0.176596,1.007620,1.022991,9.944830,91.661354
2.5482788,-0.007317,0.220257,1.009815,1.033582,12.311003,91.902618
2.5506589,-0.011952,0.261235,1.007864,1.041238,14.545637,92.619553
2.5530090,-0.019269,0.304896,1.006400,1.051748,16.886251,93.616150
2.5553894,-0.020246,0.344898,1.009328,1.066821,18.896029,93.359406
2.5577695,-0.022196,0.384168,1.008595,1.079510,20.883339,93.306686
2.5601501,-0.025854,0.420757,1.004692,1.089547,22.762024,93.516251
2.5625305,-0.030490,0.447344,1.005912,1.101320,24.024754,93.899071
2.5649109,-0.034392,0.476857,1.007864,1.115511,25.378019,94.125183
2.5672605,-0.036587,0.501005,1.008351,1.126550,26.481495,94.176727
2.5696411,-0.041953,0.527103,1.004692,1.135343,27.757853,94.550682
2.5720215,-0.040489,0.541983,1.007376,1.144635,28.347462,94.272415
2.5744016,-0.034881,0.552227,1.011767,1.153188,28.673895,93.614197
2.5767822,-0.034881,0.565400,1.007864,1.156150,29.338354,93.530212
2.5791626,-0.036100,0.567594,1.006644,1.156201,29.465891,93.639214
2.5815125,-0.032197,0.564667,1.011034,1.158480,29.223156,93.263489
2.5838926,-0.031221,0.563447,1.007864,1.155092,29.244841,93.171516
2.5862732,-0.026099,0.552471,1.007131,1.149008,28.774296,92.704628
2.5886536,-0.023415,0.536860,1.009083,1.143248,28.036804,92.497406
2.5910337,-0.016830,0.515396,1.009083,1.133210,27.068321,91.870277
2.5933836,-0.010244,0.491005,1.010547,1.123564,25.919104,91.195213
2.5957642,-0.006341,0.463198,1.010059,1.111221,24.637552,90.784370
2.5981445,-0.004147,0.432220,1.007376,1.096192,23.222990,90.549690
2.6005247,-0.004878,0.397096,1.005425,1.081013,21.553177,90.703773
2.6029053,-0.001952,0.359533,1.007864,1.070074,19.633022,90.311081
2.6052856,0.000975,0.320506,1.006644,1.056437,17.661053,89.825661
2.6076355,0.002439,0.280748,1.009572,1.047884,15.541074,89.502274
2.6100156,0.005122,0.240502,1.009572,1.037836,13.402328,88.779945
2.6123962,0.002683,0.197573,1.010303,1.029444,11.065961,89.221947
2.6147766,0.002195,0.151959,1.007376,1.018775,8.579132,89.172546
2.6171567,0.001708,0.102690,1.008839,1.014054,5.812913,89.047180
2.6195068,0.002439,0.054149,1.011278,1.012730,3.068097,87.421104
2.6218872,0.005610,0.005366,1.011034,1.011064,0.440130,43.725529
2.6242673,0.006341,-0.037075,1.010547,1.011247,2.131573,279.706146
